# This file was generated with pnmr-chi-gen v0.0.1 at 16:18:58 14-07-2026
# paranmr/simpnmr-compatible susceptibility tensor series
# seed=7 | chi_iso=[0.0, 1.0] | chi_ax=[-0.8, 0.8] | rho_over_ax=0.1666666667 | alpha_deg=0.0 | beta_deg=0.0 | gamma_deg=0.0
Temperature (K),chi_iso (Å^3),chi_ax (Å^3),chi_rho (Å^3),chi_xx (Å^3),chi_xy (Å^3),chi_xz (Å^3),chi_yy (Å^3),chi_yz (Å^3),chi_zz (Å^3),dchi_xx (Å^3),dchi_xy (Å^3),dchi_xz (Å^3),dchi_yy (Å^3),dchi_yz (Å^3),dchi_zz (Å^3),chi_x (Å^3),chi_y (Å^3),chi_z (Å^3),alpha (degrees),beta (degrees),gamma (degrees)
280.00,0.854003,-0.054969,-0.009161,0.863164,0.000000,0.000000,0.881487,0.000000,0.817357,0.009161,0.000000,0.000000,0.027484,0.000000,-0.036646,0.817357,0.863164,0.881487,0.000000,0.000000,0.000000
281.00,0.850964,-0.054773,-0.009129,0.860093,0.000000,0.000000,0.878350,0.000000,0.814448,0.009129,0.000000,0.000000,0.027387,0.000000,-0.036515,0.814448,0.860093,0.878350,0.000000,0.000000,0.000000
282.00,0.847946,-0.054579,-0.009096,0.857043,0.000000,0.000000,0.875236,0.000000,0.811560,0.009096,0.000000,0.000000,0.027289,0.000000,-0.036386,0.811560,0.857043,0.875236,0.000000,0.000000,0.000000
283.00,0.844950,-0.054386,-0.009064,0.854014,0.000000,0.000000,0.872143,0.000000,0.808693,0.009064,0.000000,0.000000,0.027193,0.000000,-0.036257,0.808693,0.854014,0.872143,0.000000,0.000000,0.000000
284.00,0.841975,-0.054194,-0.009032,0.851007,0.000000,0.000000,0.869072,0.000000,0.805845,0.009032,0.000000,0.000000,0.027097,0.000000,-0.036130,0.805845,0.851007,0.869072,0.000000,0.000000,0.000000
285.00,0.839020,-0.054004,-0.009001,0.848021,0.000000,0.000000,0.866023,0.000000,0.803018,0.009001,0.000000,0.000000,0.027002,0.000000,-0.036003,0.803018,0.848021,0.866023,0.000000,0.000000,0.000000
286.00,0.836087,-0.053815,-0.008969,0.845056,0.000000,0.000000,0.862995,0.000000,0.800210,0.008969,0.000000,0.000000,0.026908,0.000000,-0.035877,0.800210,0.845056,0.862995,0.000000,0.000000,0.000000
287.00,0.833174,-0.053628,-0.008938,0.842112,0.000000,0.000000,0.859988,0.000000,0.797422,0.008938,0.000000,0.000000,0.026814,0.000000,-0.035752,0.797422,0.842112,0.859988,0.000000,0.000000,0.000000
288.00,0.830281,-0.053442,-0.008907,0.839188,0.000000,0.000000,0.857002,0.000000,0.794653,0.008907,0.000000,0.000000,0.026721,0.000000,-0.035628,0.794653,0.839188,0.857002,0.000000,0.000000,0.000000
289.00,0.827408,-0.053257,-0.008876,0.836284,0.000000,0.000000,0.854036,0.000000,0.791903,0.008876,0.000000,0.000000,0.026628,0.000000,-0.035505,0.791903,0.836284,0.854036,0.000000,0.000000,0.000000
290.00,0.824555,-0.053073,-0.008846,0.833400,0.000000,0.000000,0.851091,0.000000,0.789172,0.008846,0.000000,0.000000,0.026537,0.000000,-0.035382,0.789172,0.833400,0.851091,0.000000,0.000000,0.000000
291.00,0.821721,-0.052891,-0.008815,0.830536,0.000000,0.000000,0.848166,0.000000,0.786461,0.008815,0.000000,0.000000,0.026445,0.000000,-0.035261,0.786461,0.830536,0.848166,0.000000,0.000000,0.000000
292.00,0.818907,-0.052710,-0.008785,0.827692,0.000000,0.000000,0.845262,0.000000,0.783767,0.008785,0.000000,0.000000,0.026355,0.000000,-0.035140,0.783767,0.827692,0.845262,0.000000,0.000000,0.000000
293.00,0.816112,-0.052530,-0.008755,0.824867,0.000000,0.000000,0.842377,0.000000,0.781092,0.008755,0.000000,0.000000,0.026265,0.000000,-0.035020,0.781092,0.824867,0.842377,0.000000,0.000000,0.000000
294.00,0.813336,-0.052351,-0.008725,0.822061,0.000000,0.000000,0.839512,0.000000,0.778435,0.008725,0.000000,0.000000,0.026176,0.000000,-0.034901,0.778435,0.822061,0.839512,0.000000,0.000000,0.000000
295.00,0.810579,-0.052174,-0.008696,0.819275,0.000000,0.000000,0.836666,0.000000,0.775797,0.008696,0.000000,0.000000,0.026087,0.000000,-0.034782,0.775797,0.819275,0.836666,0.000000,0.000000,0.000000
296.00,0.807841,-0.051997,-0.008666,0.816507,0.000000,0.000000,0.833839,0.000000,0.773176,0.008666,0.000000,0.000000,0.025999,0.000000,-0.034665,0.773176,0.816507,0.833839,0.000000,0.000000,0.000000
297.00,0.805121,-0.051822,-0.008637,0.813758,0.000000,0.000000,0.831032,0.000000,0.770572,0.008637,0.000000,0.000000,0.025911,0.000000,-0.034548,0.770572,0.813758,0.831032,0.000000,0.000000,0.000000
298.00,0.802419,-0.051648,-0.008608,0.811027,0.000000,0.000000,0.828243,0.000000,0.767987,0.008608,0.000000,0.000000,0.025824,0.000000,-0.034432,0.767987,0.811027,0.828243,0.000000,0.000000,0.000000
299.00,0.799735,-0.051476,-0.008579,0.808314,0.000000,0.000000,0.825473,0.000000,0.765418,0.008579,0.000000,0.000000,0.025738,0.000000,-0.034317,0.765418,0.808314,0.825473,0.000000,0.000000,0.000000
300.00,0.797069,-0.051304,-0.008551,0.805620,0.000000,0.000000,0.822721,0.000000,0.762867,0.008551,0.000000,0.000000,0.025652,0.000000,-0.034203,0.762867,0.805620,0.822721,0.000000,0.000000,0.000000
