# This file was generated with pnmr-chi-gen v0.0.1 at 16:18:58 14-07-2026
# paranmr/simpnmr-compatible susceptibility tensor series
# seed=7 | chi_iso=[0.0, 1.0] | chi_ax=[-0.8, 0.8] | rho_over_ax=0.1666666667 | alpha_deg=0.0 | beta_deg=0.0 | gamma_deg=0.0
Temperature (K),chi_iso (Å^3),chi_ax (Å^3),chi_rho (Å^3),chi_xx (Å^3),chi_xy (Å^3),chi_xz (Å^3),chi_yy (Å^3),chi_yz (Å^3),chi_zz (Å^3),dchi_xx (Å^3),dchi_xy (Å^3),dchi_xz (Å^3),dchi_yy (Å^3),dchi_yz (Å^3),dchi_zz (Å^3),chi_x (Å^3),chi_y (Å^3),chi_z (Å^3),alpha (degrees),beta (degrees),gamma (degrees)
280.00,0.831092,-0.471073,-0.078512,0.909604,0.000000,0.000000,1.066629,0.000000,0.517043,0.078512,0.000000,0.000000,0.235537,0.000000,-0.314049,0.517043,0.909604,1.066629,0.000000,0.000000,0.000000
281.00,0.828134,-0.469397,-0.078233,0.906367,0.000000,0.000000,1.062833,0.000000,0.515203,0.078233,0.000000,0.000000,0.234698,0.000000,-0.312931,0.515203,0.906367,1.062833,0.000000,0.000000,0.000000
282.00,0.825198,-0.467732,-0.077955,0.903153,0.000000,0.000000,1.059064,0.000000,0.513376,0.077955,0.000000,0.000000,0.233866,0.000000,-0.311822,0.513376,0.903153,1.059064,0.000000,0.000000,0.000000
283.00,0.822282,-0.466080,-0.077680,0.899962,0.000000,0.000000,1.055321,0.000000,0.511562,0.077680,0.000000,0.000000,0.233040,0.000000,-0.310720,0.511562,0.899962,1.055321,0.000000,0.000000,0.000000
284.00,0.819386,-0.464439,-0.077406,0.896793,0.000000,0.000000,1.051606,0.000000,0.509761,0.077406,0.000000,0.000000,0.232219,0.000000,-0.309626,0.509761,0.896793,1.051606,0.000000,0.000000,0.000000
285.00,0.816511,-0.462809,-0.077135,0.893646,0.000000,0.000000,1.047916,0.000000,0.507972,0.077135,0.000000,0.000000,0.231404,0.000000,-0.308539,0.507972,0.893646,1.047916,0.000000,0.000000,0.000000
286.00,0.813656,-0.461191,-0.076865,0.890521,0.000000,0.000000,1.044252,0.000000,0.506196,0.076865,0.000000,0.000000,0.230595,0.000000,-0.307460,0.506196,0.890521,1.044252,0.000000,0.000000,0.000000
287.00,0.810821,-0.459584,-0.076597,0.887419,0.000000,0.000000,1.040613,0.000000,0.504432,0.076597,0.000000,0.000000,0.229792,0.000000,-0.306389,0.504432,0.887419,1.040613,0.000000,0.000000,0.000000
288.00,0.808006,-0.457988,-0.076331,0.884337,0.000000,0.000000,1.037000,0.000000,0.502681,0.076331,0.000000,0.000000,0.228994,0.000000,-0.305325,0.502681,0.884337,1.037000,0.000000,0.000000,0.000000
289.00,0.805210,-0.456403,-0.076067,0.881277,0.000000,0.000000,1.033412,0.000000,0.500941,0.076067,0.000000,0.000000,0.228202,0.000000,-0.304269,0.500941,0.881277,1.033412,0.000000,0.000000,0.000000
290.00,0.802433,-0.454829,-0.075805,0.878238,0.000000,0.000000,1.029848,0.000000,0.499214,0.075805,0.000000,0.000000,0.227415,0.000000,-0.303220,0.499214,0.878238,1.029848,0.000000,0.000000,0.000000
291.00,0.799676,-0.453266,-0.075544,0.875220,0.000000,0.000000,1.026309,0.000000,0.497498,0.075544,0.000000,0.000000,0.226633,0.000000,-0.302178,0.497498,0.875220,1.026309,0.000000,0.000000,0.000000
292.00,0.796937,-0.451714,-0.075286,0.872223,0.000000,0.000000,1.022794,0.000000,0.495795,0.075286,0.000000,0.000000,0.225857,0.000000,-0.301143,0.495795,0.872223,1.022794,0.000000,0.000000,0.000000
293.00,0.794217,-0.450173,-0.075029,0.869246,0.000000,0.000000,1.019304,0.000000,0.494102,0.075029,0.000000,0.000000,0.225086,0.000000,-0.300115,0.494102,0.869246,1.019304,0.000000,0.000000,0.000000
294.00,0.791516,-0.448641,-0.074774,0.866290,0.000000,0.000000,1.015837,0.000000,0.492422,0.074774,0.000000,0.000000,0.224321,0.000000,-0.299094,0.492422,0.866290,1.015837,0.000000,0.000000,0.000000
295.00,0.788833,-0.447121,-0.074520,0.863353,0.000000,0.000000,1.012393,0.000000,0.490753,0.074520,0.000000,0.000000,0.223560,0.000000,-0.298080,0.490753,0.863353,1.012393,0.000000,0.000000,0.000000
296.00,0.786168,-0.445610,-0.074268,0.860436,0.000000,0.000000,1.008973,0.000000,0.489095,0.074268,0.000000,0.000000,0.222805,0.000000,-0.297073,0.489095,0.860436,1.008973,0.000000,0.000000,0.000000
297.00,0.783521,-0.444110,-0.074018,0.857539,0.000000,0.000000,1.005576,0.000000,0.487448,0.074018,0.000000,0.000000,0.222055,0.000000,-0.296073,0.487448,0.857539,1.005576,0.000000,0.000000,0.000000
298.00,0.780892,-0.442619,-0.073770,0.854662,0.000000,0.000000,1.002201,0.000000,0.485812,0.073770,0.000000,0.000000,0.221310,0.000000,-0.295080,0.485812,0.854662,1.002201,0.000000,0.000000,0.000000
299.00,0.778280,-0.441139,-0.073523,0.851803,0.000000,0.000000,0.998849,0.000000,0.484187,0.073523,0.000000,0.000000,0.220569,0.000000,-0.294093,0.484187,0.851803,0.998849,0.000000,0.000000,0.000000
300.00,0.775686,-0.439668,-0.073278,0.848964,0.000000,0.000000,0.995520,0.000000,0.482573,0.073278,0.000000,0.000000,0.219834,0.000000,-0.293112,0.482573,0.848964,0.995520,0.000000,0.000000,0.000000
