# This file was generated with pnmr-chi-gen v0.0.1 at 16:18:58 14-07-2026
# paranmr/simpnmr-compatible susceptibility tensor series
# seed=7 | chi_iso=[0.0, 1.0] | chi_ax=[-0.8, 0.8] | rho_over_ax=0.1666666667 | alpha_deg=0.0 | beta_deg=0.0 | gamma_deg=0.0
Temperature (K),chi_iso (Å^3),chi_ax (Å^3),chi_rho (Å^3),chi_xx (Å^3),chi_xy (Å^3),chi_xz (Å^3),chi_yy (Å^3),chi_yz (Å^3),chi_zz (Å^3),dchi_xx (Å^3),dchi_xy (Å^3),dchi_xz (Å^3),dchi_yy (Å^3),dchi_yz (Å^3),dchi_zz (Å^3),chi_x (Å^3),chi_y (Å^3),chi_z (Å^3),alpha (degrees),beta (degrees),gamma (degrees)
280.00,0.669745,0.680938,0.113490,0.556255,0.000000,0.000000,0.329276,0.000000,1.123704,-0.113490,0.000000,0.000000,-0.340469,0.000000,0.453959,0.329276,0.556255,1.123704,0.000000,0.000000,0.000000
281.00,0.667362,0.678515,0.113086,0.554276,0.000000,0.000000,0.328104,0.000000,1.119705,-0.113086,0.000000,0.000000,-0.339257,0.000000,0.452343,0.328104,0.554276,1.119705,0.000000,0.000000,0.000000
282.00,0.664995,0.676109,0.112685,0.552310,0.000000,0.000000,0.326941,0.000000,1.115734,-0.112685,0.000000,0.000000,-0.338054,0.000000,0.450739,0.326941,0.552310,1.115734,0.000000,0.000000,0.000000
283.00,0.662645,0.673720,0.112287,0.550359,0.000000,0.000000,0.325786,0.000000,1.111792,-0.112287,0.000000,0.000000,-0.336860,0.000000,0.449146,0.325786,0.550359,1.111792,0.000000,0.000000,0.000000
284.00,0.660312,0.671347,0.111891,0.548421,0.000000,0.000000,0.324638,0.000000,1.107877,-0.111891,0.000000,0.000000,-0.335674,0.000000,0.447565,0.324638,0.548421,1.107877,0.000000,0.000000,0.000000
285.00,0.657995,0.668992,0.111499,0.546497,0.000000,0.000000,0.323499,0.000000,1.103990,-0.111499,0.000000,0.000000,-0.334496,0.000000,0.445994,0.323499,0.546497,1.103990,0.000000,0.000000,0.000000
286.00,0.655695,0.666653,0.111109,0.544586,0.000000,0.000000,0.322368,0.000000,1.100130,-0.111109,0.000000,0.000000,-0.333326,0.000000,0.444435,0.322368,0.544586,1.100130,0.000000,0.000000,0.000000
287.00,0.653410,0.664330,0.110722,0.542688,0.000000,0.000000,0.321245,0.000000,1.096296,-0.110722,0.000000,0.000000,-0.332165,0.000000,0.442886,0.321245,0.542688,1.096296,0.000000,0.000000,0.000000
288.00,0.651141,0.662023,0.110337,0.540804,0.000000,0.000000,0.320130,0.000000,1.092490,-0.110337,0.000000,0.000000,-0.331012,0.000000,0.441349,0.320130,0.540804,1.092490,0.000000,0.000000,0.000000
289.00,0.648888,0.659732,0.109955,0.538933,0.000000,0.000000,0.319022,0.000000,1.088710,-0.109955,0.000000,0.000000,-0.329866,0.000000,0.439822,0.319022,0.538933,1.088710,0.000000,0.000000,0.000000
290.00,0.646650,0.657457,0.109576,0.537074,0.000000,0.000000,0.317922,0.000000,1.084955,-0.109576,0.000000,0.000000,-0.328729,0.000000,0.438305,0.317922,0.537074,1.084955,0.000000,0.000000,0.000000
291.00,0.644428,0.655198,0.109200,0.535229,0.000000,0.000000,0.316829,0.000000,1.081227,-0.109200,0.000000,0.000000,-0.327599,0.000000,0.436799,0.316829,0.535229,1.081227,0.000000,0.000000,0.000000
292.00,0.642221,0.652954,0.108826,0.533396,0.000000,0.000000,0.315744,0.000000,1.077524,-0.108826,0.000000,0.000000,-0.326477,0.000000,0.435303,0.315744,0.533396,1.077524,0.000000,0.000000,0.000000
293.00,0.640029,0.650726,0.108454,0.531575,0.000000,0.000000,0.314667,0.000000,1.073847,-0.108454,0.000000,0.000000,-0.325363,0.000000,0.433817,0.314667,0.531575,1.073847,0.000000,0.000000,0.000000
294.00,0.637853,0.648512,0.108085,0.529767,0.000000,0.000000,0.313596,0.000000,1.070194,-0.108085,0.000000,0.000000,-0.324256,0.000000,0.432342,0.313596,0.529767,1.070194,0.000000,0.000000,0.000000
295.00,0.635690,0.646314,0.107719,0.527971,0.000000,0.000000,0.312533,0.000000,1.066566,-0.107719,0.000000,0.000000,-0.323157,0.000000,0.430876,0.312533,0.527971,1.066566,0.000000,0.000000,0.000000
296.00,0.633543,0.644130,0.107355,0.526188,0.000000,0.000000,0.311477,0.000000,1.062963,-0.107355,0.000000,0.000000,-0.322065,0.000000,0.429420,0.311477,0.526188,1.062963,0.000000,0.000000,0.000000
297.00,0.631410,0.641962,0.106994,0.524416,0.000000,0.000000,0.310429,0.000000,1.059384,-0.106994,0.000000,0.000000,-0.320981,0.000000,0.427974,0.310429,0.524416,1.059384,0.000000,0.000000,0.000000
298.00,0.629291,0.639807,0.106635,0.522656,0.000000,0.000000,0.309387,0.000000,1.055829,-0.106635,0.000000,0.000000,-0.319904,0.000000,0.426538,0.309387,0.522656,1.055829,0.000000,0.000000,0.000000
299.00,0.627186,0.637668,0.106278,0.520908,0.000000,0.000000,0.308352,0.000000,1.052298,-0.106278,0.000000,0.000000,-0.318834,0.000000,0.425112,0.308352,0.520908,1.052298,0.000000,0.000000,0.000000
300.00,0.625095,0.635542,0.105924,0.519172,0.000000,0.000000,0.307324,0.000000,1.048790,-0.105924,0.000000,0.000000,-0.317771,0.000000,0.423695,0.307324,0.519172,1.048790,0.000000,0.000000,0.000000
