# This file was generated with pnmr-chi-gen v0.0.1 at 16:18:58 14-07-2026
# paranmr/simpnmr-compatible susceptibility tensor series
# seed=7 | chi_iso=[0.0, 1.0] | chi_ax=[-0.8, 0.8] | rho_over_ax=0.1666666667 | alpha_deg=0.0 | beta_deg=0.0 | gamma_deg=0.0
Temperature (K),chi_iso (Å^3),chi_ax (Å^3),chi_rho (Å^3),chi_xx (Å^3),chi_xy (Å^3),chi_xz (Å^3),chi_yy (Å^3),chi_yz (Å^3),chi_zz (Å^3),dchi_xx (Å^3),dchi_xy (Å^3),dchi_xz (Å^3),dchi_yy (Å^3),dchi_yz (Å^3),dchi_zz (Å^3),chi_x (Å^3),chi_y (Å^3),chi_z (Å^3),alpha (degrees),beta (degrees),gamma (degrees)
280.00,0.666621,0.838217,0.139703,0.526918,0.000000,0.000000,0.247512,0.000000,1.225432,-0.139703,0.000000,0.000000,-0.419109,0.000000,0.558812,0.247512,0.526918,1.225432,0.000000,0.000000,0.000000
281.00,0.664248,0.835234,0.139206,0.525043,0.000000,0.000000,0.246631,0.000000,1.221071,-0.139206,0.000000,0.000000,-0.417617,0.000000,0.556823,0.246631,0.525043,1.221071,0.000000,0.000000,0.000000
282.00,0.661893,0.832273,0.138712,0.523181,0.000000,0.000000,0.245757,0.000000,1.216741,-0.138712,0.000000,0.000000,-0.416136,0.000000,0.554848,0.245757,0.523181,1.216741,0.000000,0.000000,0.000000
283.00,0.659554,0.829332,0.138222,0.521332,0.000000,0.000000,0.244888,0.000000,1.212442,-0.138222,0.000000,0.000000,-0.414666,0.000000,0.552888,0.244888,0.521332,1.212442,0.000000,0.000000,0.000000
284.00,0.657232,0.826412,0.137735,0.519496,0.000000,0.000000,0.244026,0.000000,1.208173,-0.137735,0.000000,0.000000,-0.413206,0.000000,0.550941,0.244026,0.519496,1.208173,0.000000,0.000000,0.000000
285.00,0.654926,0.823512,0.137252,0.517674,0.000000,0.000000,0.243170,0.000000,1.203933,-0.137252,0.000000,0.000000,-0.411756,0.000000,0.549008,0.243170,0.517674,1.203933,0.000000,0.000000,0.000000
286.00,0.652636,0.820632,0.136772,0.515863,0.000000,0.000000,0.242319,0.000000,1.199724,-0.136772,0.000000,0.000000,-0.410316,0.000000,0.547088,0.242319,0.515863,1.199724,0.000000,0.000000,0.000000
287.00,0.650362,0.817773,0.136296,0.514066,0.000000,0.000000,0.241475,0.000000,1.195544,-0.136296,0.000000,0.000000,-0.408887,0.000000,0.545182,0.241475,0.514066,1.195544,0.000000,0.000000,0.000000
288.00,0.648103,0.814934,0.135822,0.512281,0.000000,0.000000,0.240637,0.000000,1.191392,-0.135822,0.000000,0.000000,-0.407467,0.000000,0.543289,0.240637,0.512281,1.191392,0.000000,0.000000,0.000000
289.00,0.645861,0.812114,0.135352,0.510509,0.000000,0.000000,0.239804,0.000000,1.187270,-0.135352,0.000000,0.000000,-0.406057,0.000000,0.541409,0.239804,0.510509,1.187270,0.000000,0.000000,0.000000
290.00,0.643634,0.809313,0.134886,0.508748,0.000000,0.000000,0.238977,0.000000,1.183176,-0.134886,0.000000,0.000000,-0.404657,0.000000,0.539542,0.238977,0.508748,1.183176,0.000000,0.000000,0.000000
291.00,0.641422,0.806532,0.134422,0.507000,0.000000,0.000000,0.238156,0.000000,1.179110,-0.134422,0.000000,0.000000,-0.403266,0.000000,0.537688,0.238156,0.507000,1.179110,0.000000,0.000000,0.000000
292.00,0.639225,0.803770,0.133962,0.505264,0.000000,0.000000,0.237340,0.000000,1.175072,-0.133962,0.000000,0.000000,-0.401885,0.000000,0.535847,0.237340,0.505264,1.175072,0.000000,0.000000,0.000000
293.00,0.637044,0.801027,0.133504,0.503539,0.000000,0.000000,0.236530,0.000000,1.171061,-0.133504,0.000000,0.000000,-0.400513,0.000000,0.534018,0.236530,0.503539,1.171061,0.000000,0.000000,0.000000
294.00,0.634877,0.798302,0.133050,0.501826,0.000000,0.000000,0.235726,0.000000,1.167078,-0.133050,0.000000,0.000000,-0.399151,0.000000,0.532202,0.235726,0.501826,1.167078,0.000000,0.000000,0.000000
295.00,0.632725,0.795596,0.132599,0.500125,0.000000,0.000000,0.234927,0.000000,1.163122,-0.132599,0.000000,0.000000,-0.397798,0.000000,0.530397,0.234927,0.500125,1.163122,0.000000,0.000000,0.000000
296.00,0.630587,0.792908,0.132151,0.498436,0.000000,0.000000,0.234133,0.000000,1.159193,-0.132151,0.000000,0.000000,-0.396454,0.000000,0.528606,0.234133,0.498436,1.159193,0.000000,0.000000,0.000000
297.00,0.628464,0.790239,0.131706,0.496757,0.000000,0.000000,0.233345,0.000000,1.155290,-0.131706,0.000000,0.000000,-0.395119,0.000000,0.526826,0.233345,0.496757,1.155290,0.000000,0.000000,0.000000
298.00,0.626355,0.787587,0.131264,0.495090,0.000000,0.000000,0.232562,0.000000,1.151413,-0.131264,0.000000,0.000000,-0.393793,0.000000,0.525058,0.232562,0.495090,1.151413,0.000000,0.000000,0.000000
299.00,0.624260,0.784953,0.130825,0.493435,0.000000,0.000000,0.231784,0.000000,1.147562,-0.130825,0.000000,0.000000,-0.392476,0.000000,0.523302,0.231784,0.493435,1.147562,0.000000,0.000000,0.000000
300.00,0.622179,0.782336,0.130389,0.491790,0.000000,0.000000,0.231011,0.000000,1.143737,-0.130389,0.000000,0.000000,-0.391168,0.000000,0.521557,0.231011,0.491790,1.143737,0.000000,0.000000,0.000000
