# This file was generated with pnmr-chi-gen v0.0.1 at 16:18:58 14-07-2026
# paranmr/simpnmr-compatible susceptibility tensor series
# seed=7 | chi_iso=[0.0, 1.0] | chi_ax=[-0.8, 0.8] | rho_over_ax=0.1666666667 | alpha_deg=0.0 | beta_deg=0.0 | gamma_deg=0.0
Temperature (K),chi_iso (Å^3),chi_ax (Å^3),chi_rho (Å^3),chi_xx (Å^3),chi_xy (Å^3),chi_xz (Å^3),chi_yy (Å^3),chi_yz (Å^3),chi_zz (Å^3),dchi_xx (Å^3),dchi_xy (Å^3),dchi_xz (Å^3),dchi_yy (Å^3),dchi_yz (Å^3),dchi_zz (Å^3),chi_x (Å^3),chi_y (Å^3),chi_z (Å^3),alpha (degrees),beta (degrees),gamma (degrees)
280.00,0.273075,-0.094155,-0.015692,0.288767,0.000000,0.000000,0.320152,0.000000,0.210305,0.015692,0.000000,0.000000,0.047077,0.000000,-0.062770,0.210305,0.288767,0.320152,0.000000,0.000000,0.000000
281.00,0.272103,-0.093820,-0.015637,0.287739,0.000000,0.000000,0.319013,0.000000,0.209556,0.015637,0.000000,0.000000,0.046910,0.000000,-0.062547,0.209556,0.287739,0.319013,0.000000,0.000000,0.000000
282.00,0.271138,-0.093487,-0.015581,0.286719,0.000000,0.000000,0.317881,0.000000,0.208813,0.015581,0.000000,0.000000,0.046744,0.000000,-0.062325,0.208813,0.286719,0.317881,0.000000,0.000000,0.000000
283.00,0.270180,-0.093157,-0.015526,0.285706,0.000000,0.000000,0.316758,0.000000,0.208075,0.015526,0.000000,0.000000,0.046578,0.000000,-0.062105,0.208075,0.285706,0.316758,0.000000,0.000000,0.000000
284.00,0.269228,-0.092829,-0.015471,0.284700,0.000000,0.000000,0.315643,0.000000,0.207343,0.015471,0.000000,0.000000,0.046414,0.000000,-0.061886,0.207343,0.284700,0.315643,0.000000,0.000000,0.000000
285.00,0.268284,-0.092503,-0.015417,0.283701,0.000000,0.000000,0.314535,0.000000,0.206615,0.015417,0.000000,0.000000,0.046252,0.000000,-0.061669,0.206615,0.283701,0.314535,0.000000,0.000000,0.000000
286.00,0.267346,-0.092180,-0.015363,0.282709,0.000000,0.000000,0.313436,0.000000,0.205893,0.015363,0.000000,0.000000,0.046090,0.000000,-0.061453,0.205893,0.282709,0.313436,0.000000,0.000000,0.000000
287.00,0.266414,-0.091858,-0.015310,0.281724,0.000000,0.000000,0.312343,0.000000,0.205175,0.015310,0.000000,0.000000,0.045929,0.000000,-0.061239,0.205175,0.281724,0.312343,0.000000,0.000000,0.000000
288.00,0.265489,-0.091539,-0.015257,0.280746,0.000000,0.000000,0.311259,0.000000,0.204463,0.015257,0.000000,0.000000,0.045770,0.000000,-0.061026,0.204463,0.280746,0.311259,0.000000,0.000000,0.000000
289.00,0.264571,-0.091223,-0.015204,0.279774,0.000000,0.000000,0.310182,0.000000,0.203755,0.015204,0.000000,0.000000,0.045611,0.000000,-0.060815,0.203755,0.279774,0.310182,0.000000,0.000000,0.000000
290.00,0.263658,-0.090908,-0.015151,0.278810,0.000000,0.000000,0.309112,0.000000,0.203053,0.015151,0.000000,0.000000,0.045454,0.000000,-0.060605,0.203053,0.278810,0.309112,0.000000,0.000000,0.000000
291.00,0.262752,-0.090596,-0.015099,0.277851,0.000000,0.000000,0.308050,0.000000,0.202355,0.015099,0.000000,0.000000,0.045298,0.000000,-0.060397,0.202355,0.277851,0.308050,0.000000,0.000000,0.000000
292.00,0.261852,-0.090286,-0.015048,0.276900,0.000000,0.000000,0.306995,0.000000,0.201662,0.015048,0.000000,0.000000,0.045143,0.000000,-0.060190,0.201662,0.276900,0.306995,0.000000,0.000000,0.000000
293.00,0.260959,-0.089977,-0.014996,0.275955,0.000000,0.000000,0.305947,0.000000,0.200974,0.014996,0.000000,0.000000,0.044989,0.000000,-0.059985,0.200974,0.275955,0.305947,0.000000,0.000000,0.000000
294.00,0.260071,-0.089671,-0.014945,0.275016,0.000000,0.000000,0.304907,0.000000,0.200290,0.014945,0.000000,0.000000,0.044836,0.000000,-0.059781,0.200290,0.275016,0.304907,0.000000,0.000000,0.000000
295.00,0.259189,-0.089367,-0.014895,0.274084,0.000000,0.000000,0.303873,0.000000,0.199611,0.014895,0.000000,0.000000,0.044684,0.000000,-0.059578,0.199611,0.274084,0.303873,0.000000,0.000000,0.000000
296.00,0.258314,-0.089065,-0.014844,0.273158,0.000000,0.000000,0.302846,0.000000,0.198937,0.014844,0.000000,0.000000,0.044533,0.000000,-0.059377,0.198937,0.273158,0.302846,0.000000,0.000000,0.000000
297.00,0.257444,-0.088766,-0.014794,0.272238,0.000000,0.000000,0.301827,0.000000,0.198267,0.014794,0.000000,0.000000,0.044383,0.000000,-0.059177,0.198267,0.272238,0.301827,0.000000,0.000000,0.000000
298.00,0.256580,-0.088468,-0.014745,0.271325,0.000000,0.000000,0.300814,0.000000,0.197602,0.014745,0.000000,0.000000,0.044234,0.000000,-0.058978,0.197602,0.271325,0.300814,0.000000,0.000000,0.000000
299.00,0.255722,-0.088172,-0.014695,0.270417,0.000000,0.000000,0.299808,0.000000,0.196941,0.014695,0.000000,0.000000,0.044086,0.000000,-0.058781,0.196941,0.270417,0.299808,0.000000,0.000000,0.000000
300.00,0.254870,-0.087878,-0.014646,0.269516,0.000000,0.000000,0.298809,0.000000,0.196284,0.014646,0.000000,0.000000,0.043939,0.000000,-0.058585,0.196284,0.269516,0.298809,0.000000,0.000000,0.000000
