# This file was generated with pnmr-chi-gen v0.0.1 at 16:18:58 14-07-2026
# paranmr/simpnmr-compatible susceptibility tensor series
# seed=7 | chi_iso=[0.0, 1.0] | chi_ax=[-0.8, 0.8] | rho_over_ax=0.1666666667 | alpha_deg=0.0 | beta_deg=0.0 | gamma_deg=0.0
Temperature (K),chi_iso (Å^3),chi_ax (Å^3),chi_rho (Å^3),chi_xx (Å^3),chi_xy (Å^3),chi_xz (Å^3),chi_yy (Å^3),chi_yz (Å^3),chi_zz (Å^3),dchi_xx (Å^3),dchi_xy (Å^3),dchi_xz (Å^3),dchi_yy (Å^3),dchi_yz (Å^3),dchi_zz (Å^3),chi_x (Å^3),chi_y (Å^3),chi_z (Å^3),alpha (degrees),beta (degrees),gamma (degrees)
280.00,1.066607,0.501706,0.083618,0.982990,0.000000,0.000000,0.815754,0.000000,1.401078,-0.083618,0.000000,0.000000,-0.250853,0.000000,0.334471,0.815754,0.982990,1.401078,0.000000,0.000000,0.000000
281.00,1.062812,0.499921,0.083320,0.979492,0.000000,0.000000,0.812851,0.000000,1.396092,-0.083320,0.000000,0.000000,-0.249960,0.000000,0.333280,0.812851,0.979492,1.396092,0.000000,0.000000,0.000000
282.00,1.059043,0.498148,0.083025,0.976018,0.000000,0.000000,0.809969,0.000000,1.391141,-0.083025,0.000000,0.000000,-0.249074,0.000000,0.332099,0.809969,0.976018,1.391141,0.000000,0.000000,0.000000
283.00,1.055301,0.496388,0.082731,0.972569,0.000000,0.000000,0.807107,0.000000,1.386226,-0.082731,0.000000,0.000000,-0.248194,0.000000,0.330925,0.807107,0.972569,1.386226,0.000000,0.000000,0.000000
284.00,1.051585,0.494640,0.082440,0.969145,0.000000,0.000000,0.804265,0.000000,1.381345,-0.082440,0.000000,0.000000,-0.247320,0.000000,0.329760,0.804265,0.969145,1.381345,0.000000,0.000000,0.000000
285.00,1.047895,0.492904,0.082151,0.965744,0.000000,0.000000,0.801443,0.000000,1.376498,-0.082151,0.000000,0.000000,-0.246452,0.000000,0.328603,0.801443,0.965744,1.376498,0.000000,0.000000,0.000000
286.00,1.044231,0.491181,0.081863,0.962368,0.000000,0.000000,0.798641,0.000000,1.371685,-0.081863,0.000000,0.000000,-0.245590,0.000000,0.327454,0.798641,0.962368,1.371685,0.000000,0.000000,0.000000
287.00,1.040593,0.489469,0.081578,0.959014,0.000000,0.000000,0.795858,0.000000,1.366906,-0.081578,0.000000,0.000000,-0.244735,0.000000,0.326313,0.795858,0.959014,1.366906,0.000000,0.000000,0.000000
288.00,1.036979,0.487770,0.081295,0.955684,0.000000,0.000000,0.793095,0.000000,1.362159,-0.081295,0.000000,0.000000,-0.243885,0.000000,0.325180,0.793095,0.955684,1.362159,0.000000,0.000000,0.000000
289.00,1.033391,0.486082,0.081014,0.952378,0.000000,0.000000,0.790350,0.000000,1.357446,-0.081014,0.000000,0.000000,-0.243041,0.000000,0.324055,0.790350,0.952378,1.357446,0.000000,0.000000,0.000000
290.00,1.029828,0.484406,0.080734,0.949094,0.000000,0.000000,0.787625,0.000000,1.352765,-0.080734,0.000000,0.000000,-0.242203,0.000000,0.322937,0.787625,0.949094,1.352765,0.000000,0.000000,0.000000
291.00,1.026289,0.482741,0.080457,0.945832,0.000000,0.000000,0.784918,0.000000,1.348116,-0.080457,0.000000,0.000000,-0.241371,0.000000,0.321828,0.784918,0.945832,1.348116,0.000000,0.000000,0.000000
292.00,1.022774,0.481088,0.080181,0.942593,0.000000,0.000000,0.782230,0.000000,1.343500,-0.080181,0.000000,0.000000,-0.240544,0.000000,0.320725,0.782230,0.942593,1.343500,0.000000,0.000000,0.000000
293.00,1.019284,0.479446,0.079908,0.939376,0.000000,0.000000,0.779560,0.000000,1.338914,-0.079908,0.000000,0.000000,-0.239723,0.000000,0.319631,0.779560,0.939376,1.338914,0.000000,0.000000,0.000000
294.00,1.015817,0.477815,0.079636,0.936181,0.000000,0.000000,0.776909,0.000000,1.334360,-0.079636,0.000000,0.000000,-0.238908,0.000000,0.318544,0.776909,0.936181,1.334360,0.000000,0.000000,0.000000
295.00,1.012373,0.476196,0.079366,0.933007,0.000000,0.000000,0.774275,0.000000,1.329837,-0.079366,0.000000,0.000000,-0.238098,0.000000,0.317464,0.774275,0.933007,1.329837,0.000000,0.000000,0.000000
296.00,1.008953,0.474587,0.079098,0.929855,0.000000,0.000000,0.771660,0.000000,1.325344,-0.079098,0.000000,0.000000,-0.237293,0.000000,0.316391,0.771660,0.929855,1.325344,0.000000,0.000000,0.000000
297.00,1.005556,0.472989,0.078831,0.926724,0.000000,0.000000,0.769061,0.000000,1.320882,-0.078831,0.000000,0.000000,-0.236494,0.000000,0.315326,0.769061,0.926724,1.320882,0.000000,0.000000,0.000000
298.00,1.002181,0.471402,0.078567,0.923615,0.000000,0.000000,0.766481,0.000000,1.316449,-0.078567,0.000000,0.000000,-0.235701,0.000000,0.314268,0.766481,0.923615,1.316449,0.000000,0.000000,0.000000
299.00,0.998830,0.469825,0.078304,0.920526,0.000000,0.000000,0.763917,0.000000,1.312046,-0.078304,0.000000,0.000000,-0.234913,0.000000,0.313217,0.763917,0.920526,1.312046,0.000000,0.000000,0.000000
300.00,0.995500,0.468259,0.078043,0.917457,0.000000,0.000000,0.761371,0.000000,1.307673,-0.078043,0.000000,0.000000,-0.234130,0.000000,0.312173,0.761371,0.917457,1.307673,0.000000,0.000000,0.000000
