# This file was generated with pnmr-chi-gen v0.0.1 at 16:18:58 14-07-2026
# paranmr/simpnmr-compatible susceptibility tensor series
# seed=7 | chi_iso=[0.0, 1.0] | chi_ax=[-0.8, 0.8] | rho_over_ax=0.1666666667 | alpha_deg=0.0 | beta_deg=0.0 | gamma_deg=0.0
Temperature (K),chi_iso (Å^3),chi_ax (Å^3),chi_rho (Å^3),chi_xx (Å^3),chi_xy (Å^3),chi_xz (Å^3),chi_yy (Å^3),chi_yz (Å^3),chi_zz (Å^3),dchi_xx (Å^3),dchi_xy (Å^3),dchi_xz (Å^3),dchi_yy (Å^3),dchi_yz (Å^3),dchi_zz (Å^3),chi_x (Å^3),chi_y (Å^3),chi_z (Å^3),alpha (degrees),beta (degrees),gamma (degrees)
280.00,0.321607,0.640377,0.106730,0.214877,0.000000,0.000000,0.001418,0.000000,0.748525,-0.106730,0.000000,0.000000,-0.320189,0.000000,0.426918,0.001418,0.214877,0.748525,0.000000,0.000000,0.000000
281.00,0.320462,0.638098,0.106350,0.214112,0.000000,0.000000,0.001413,0.000000,0.745861,-0.106350,0.000000,0.000000,-0.319049,0.000000,0.425399,0.001413,0.214112,0.745861,0.000000,0.000000,0.000000
282.00,0.319326,0.635836,0.105973,0.213353,0.000000,0.000000,0.001408,0.000000,0.743216,-0.105973,0.000000,0.000000,-0.317918,0.000000,0.423890,0.001408,0.213353,0.743216,0.000000,0.000000,0.000000
283.00,0.318197,0.633589,0.105598,0.212599,0.000000,0.000000,0.001403,0.000000,0.740590,-0.105598,0.000000,0.000000,-0.316794,0.000000,0.422393,0.001403,0.212599,0.740590,0.000000,0.000000,0.000000
284.00,0.317077,0.631358,0.105226,0.211851,0.000000,0.000000,0.001398,0.000000,0.737982,-0.105226,0.000000,0.000000,-0.315679,0.000000,0.420905,0.001398,0.211851,0.737982,0.000000,0.000000,0.000000
285.00,0.315965,0.629143,0.104857,0.211107,0.000000,0.000000,0.001393,0.000000,0.735393,-0.104857,0.000000,0.000000,-0.314571,0.000000,0.419428,0.001393,0.211107,0.735393,0.000000,0.000000,0.000000
286.00,0.314860,0.626943,0.104490,0.210369,0.000000,0.000000,0.001388,0.000000,0.732822,-0.104490,0.000000,0.000000,-0.313471,0.000000,0.417962,0.001388,0.210369,0.732822,0.000000,0.000000,0.000000
287.00,0.313763,0.624758,0.104126,0.209636,0.000000,0.000000,0.001383,0.000000,0.730268,-0.104126,0.000000,0.000000,-0.312379,0.000000,0.416506,0.001383,0.209636,0.730268,0.000000,0.000000,0.000000
288.00,0.312673,0.622589,0.103765,0.208908,0.000000,0.000000,0.001379,0.000000,0.727733,-0.103765,0.000000,0.000000,-0.311295,0.000000,0.415059,0.001379,0.208908,0.727733,0.000000,0.000000,0.000000
289.00,0.311591,0.620435,0.103406,0.208186,0.000000,0.000000,0.001374,0.000000,0.725214,-0.103406,0.000000,0.000000,-0.310217,0.000000,0.413623,0.001374,0.208186,0.725214,0.000000,0.000000,0.000000
290.00,0.310517,0.618295,0.103049,0.207468,0.000000,0.000000,0.001369,0.000000,0.722714,-0.103049,0.000000,0.000000,-0.309148,0.000000,0.412197,0.001369,0.207468,0.722714,0.000000,0.000000,0.000000
291.00,0.309450,0.616171,0.102695,0.206755,0.000000,0.000000,0.001364,0.000000,0.720230,-0.102695,0.000000,0.000000,-0.308085,0.000000,0.410780,0.001364,0.206755,0.720230,0.000000,0.000000,0.000000
292.00,0.308390,0.614060,0.102343,0.206047,0.000000,0.000000,0.001360,0.000000,0.717764,-0.102343,0.000000,0.000000,-0.307030,0.000000,0.409374,0.001360,0.206047,0.717764,0.000000,0.000000,0.000000
293.00,0.307337,0.611965,0.101994,0.205343,0.000000,0.000000,0.001355,0.000000,0.715314,-0.101994,0.000000,0.000000,-0.305982,0.000000,0.407976,0.001355,0.205343,0.715314,0.000000,0.000000,0.000000
294.00,0.306292,0.609883,0.101647,0.204645,0.000000,0.000000,0.001351,0.000000,0.712881,-0.101647,0.000000,0.000000,-0.304942,0.000000,0.406589,0.001351,0.204645,0.712881,0.000000,0.000000,0.000000
295.00,0.305254,0.607816,0.101303,0.203951,0.000000,0.000000,0.001346,0.000000,0.710464,-0.101303,0.000000,0.000000,-0.303908,0.000000,0.405211,0.001346,0.203951,0.710464,0.000000,0.000000,0.000000
296.00,0.304223,0.605762,0.100960,0.203262,0.000000,0.000000,0.001341,0.000000,0.708064,-0.100960,0.000000,0.000000,-0.302881,0.000000,0.403842,0.001341,0.203262,0.708064,0.000000,0.000000,0.000000
297.00,0.303198,0.603723,0.100620,0.202578,0.000000,0.000000,0.001337,0.000000,0.705680,-0.100620,0.000000,0.000000,-0.301861,0.000000,0.402482,0.001337,0.202578,0.705680,0.000000,0.000000,0.000000
298.00,0.302181,0.601697,0.100283,0.201898,0.000000,0.000000,0.001332,0.000000,0.703312,-0.100283,0.000000,0.000000,-0.300848,0.000000,0.401131,0.001332,0.201898,0.703312,0.000000,0.000000,0.000000
299.00,0.301170,0.599684,0.099947,0.201223,0.000000,0.000000,0.001328,0.000000,0.700960,-0.099947,0.000000,0.000000,-0.299842,0.000000,0.399790,0.001328,0.201223,0.700960,0.000000,0.000000,0.000000
300.00,0.300166,0.597686,0.099614,0.200552,0.000000,0.000000,0.001324,0.000000,0.698623,-0.099614,0.000000,0.000000,-0.298843,0.000000,0.398457,0.001324,0.200552,0.698623,0.000000,0.000000,0.000000
